Attack ID;Source 1;Report number;Source 2;Type of attack;Category;Hospital name;Governorate;Date;Month-year;Year-month;Month;Year; Killed staff FU ; Killed staff II ; Killed patients FU ; Killed patients II ; Killed individuals FU ; Killed individuals II ; Detained staff FU ; Detained staff II ; Detained patients FU ; Detained patients II ; Detained individuals FU ; Detained individuals II ; Injured staff FU ; Injured staff II ; Injured patients FU ; Injured patients II ; Injured individuals FU ; Injured individuals II ;Closure;Reopening;Comments
46;Insecurity Insight;NA;No;Shelling;Violence with heavy weapons, fire or chemical agent;Al Quds Hospital;Gaza City;18-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;
47;Insecurity Insight;NA;No;Threat;Violence against individuals;Al Quds Hospital;Gaza City;20-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;
48;Flash Update;15;No;Order of evacuation;Evacuation order;Indonesian Hospital;Gaza North;21-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;
49;Flash Update;15;No;Order of evacuation;Evacuation order;Kamal Adwan Hospital;Gaza North;21-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;
50;Flash Update;15;No;Order of evacuation;Evacuation order;Al Awda Hospital-North;Gaza North;21-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;
51;Flash Update;15;No;Order of evacuation;Evacuation order;Al Sahaba Hospital;Gaza City;21-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;13-11-2023;27-11-2023;
52;Flash Update;15;No;Order of evacuation;Evacuation order;Al Ahli Arab Hospital;Gaza City;21-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;
53;Flash Update;15;No;Order of evacuation;Evacuation order;Al Shifa Medical Hospital;Gaza City;21-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;
54;Flash Update;15;No;Order of evacuation;Evacuation order;Psychiatric Hospital;Gaza City;21-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;
55;Flash Update;15;No;Order of evacuation;Evacuation order;Al-Ranteesi Al-Naser Paediatric Hospital;Gaza City;21-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;
